Rank,Priority,prop_screened,prop_found
139,High,0.16144018583042974,0.3716475095785441
140,High,0.16260162601626016,0.37547892720306514
141,High,0.16376306620209058,0.37547892720306514
142,High,0.16492450638792103,0.3793103448275862
143,High,0.16608594657375145,0.3831417624521073
144,High,0.1672473867595819,0.38697318007662834
145,High,0.16840882694541232,0.39080459770114945
146,High,0.16957026713124274,0.39080459770114945
147,High,0.17073170731707318,0.3946360153256705
148,High,0.1718931475029036,0.3946360153256705
149,High,0.17305458768873402,0.3946360153256705
150,High,0.17421602787456447,0.3946360153256705
151,High,0.1753774680603949,0.39846743295019155
152,High,0.1765389082462253,0.39846743295019155
153,High,0.17770034843205576,0.40229885057471265
154,High,0.17886178861788618,0.40229885057471265
155,High,0.1800232288037166,0.4061302681992337
156,High,0.18118466898954705,0.4099616858237548
157,High,0.18234610917537747,0.4099616858237548
158,High,0.1835075493612079,0.41379310344827586
159,High,0.18466898954703834,0.41762452107279696
160,High,0.18583042973286876,0.421455938697318
161,High,0.18699186991869918,0.421455938697318
162,High,0.18815331010452963,0.42528735632183906
163,High,0.18931475029036005,0.42528735632183906
164,High,0.19047619047619047,0.42911877394636017
165,High,0.1916376306620209,0.42911877394636017
166,High,0.19279907084785133,0.42911877394636017
167,High,0.19396051103368175,0.42911877394636017
168,High,0.1951219512195122,0.4329501915708812
169,High,0.19628339140534262,0.4329501915708812
170,High,0.19744483159117304,0.4367816091954023
171,High,0.1986062717770035,0.4367816091954023
172,High,0.1997677119628339,0.4367816091954023
173,High,0.20092915214866433,0.44061302681992337
174,High,0.20209059233449478,0.4444444444444444
175,High,0.2032520325203252,0.4482758620689655
176,High,0.20441347270615565,0.4521072796934866
177,High,0.20557491289198607,0.4559386973180077
178,High,0.2067363530778165,0.45977011494252873
179,High,0.20789779326364694,0.46360153256704983
180,High,0.20905923344947736,0.46360153256704983
181,High,0.21022067363530778,0.46360153256704983
182,High,0.21138211382113822,0.46360153256704983
183,High,0.21254355400696864,0.4674329501915709
184,High,0.21370499419279906,0.47126436781609193
185,High,0.2148664343786295,0.47509578544061304
186,High,0.21602787456445993,0.4789272030651341
187,High,0.21718931475029035,0.4827586206896552
188,High,0.2183507549361208,0.4827586206896552
189,High,0.21951219512195122,0.4827586206896552
190,High,0.22067363530778164,0.4827586206896552
191,High,0.2218350754936121,0.48659003831417624
192,High,0.2229965156794425,0.48659003831417624
193,High,0.22415795586527293,0.4904214559386973
194,High,0.22531939605110338,0.4942528735632184
195,High,0.2264808362369338,0.4942528735632184
196,High,0.22764227642276422,0.4942528735632184
197,High,0.22880371660859466,0.49808429118773945
198,High,0.22996515679442509,0.49808429118773945
199,High,0.2311265969802555,0.49808429118773945
200,High,0.23228803716608595,0.49808429118773945
201,High,0.23344947735191637,0.49808429118773945
202,High,0.2346109175377468,0.5019157088122606
203,High,0.23577235772357724,0.5057471264367817
204,High,0.23693379790940766,0.5057471264367817
205,High,0.23809523809523808,0.5057471264367817
206,High,0.23925667828106853,0.5095785440613027
207,High,0.24041811846689895,0.5134099616858238
208,High,0.2415795586527294,0.5134099616858238
209,High,0.24274099883855982,0.5172413793103449
210,High,0.24390243902439024,0.5172413793103449
211,High,0.2450638792102207,0.5210727969348659
212,High,0.2462253193960511,0.5210727969348659
213,High,0.24738675958188153,0.5210727969348659
214,High,0.24854819976771197,0.524904214559387
215,High,0.2497096399535424,0.5287356321839081
216,High,0.2508710801393728,0.5325670498084292
217,High,0.25203252032520324,0.5325670498084292
218,High,0.25319396051103366,0.5363984674329502
219,High,0.25435540069686413,0.5402298850574713
220,High,0.25551684088269455,0.5402298850574713
221,High,0.25667828106852497,0.5440613026819924
222,High,0.2578397212543554,0.5440613026819924
223,High,0.2590011614401858,0.5440613026819924
224,High,0.2601626016260163,0.5440613026819924
225,High,0.2613240418118467,0.5440613026819924
226,High,0.26248548199767713,0.5440613026819924
227,High,0.26364692218350755,0.5440613026819924
228,High,0.26480836236933797,0.5440613026819924
229,High,0.2659698025551684,0.5440613026819924
230,High,0.26713124274099886,0.5478927203065134
231,High,0.2682926829268293,0.5478927203065134
232,High,0.2694541231126597,0.5517241379310345
233,High,0.2706155632984901,0.5555555555555556
234,High,0.27177700348432055,0.5593869731800766
235,High,0.27293844367015097,0.5632183908045977
236,High,0.27409988385598144,0.5632183908045977
237,High,0.27526132404181186,0.5632183908045977
238,High,0.2764227642276423,0.5632183908045977
239,High,0.2775842044134727,0.5670498084291188
240,High,0.2787456445993031,0.5670498084291188
241,High,0.27990708478513354,0.5708812260536399
242,High,0.281068524970964,0.5708812260536399
243,High,0.28222996515679444,0.5747126436781609
244,High,0.28339140534262486,0.578544061302682
245,High,0.2845528455284553,0.5823754789272031
246,High,0.2857142857142857,0.5862068965517241
247,High,0.2868757259001161,0.5862068965517241
248,High,0.2880371660859466,0.5862068965517241
249,High,0.289198606271777,0.5900383141762452
250,High,0.29036004645760743,0.5938697318007663
251,High,0.29152148664343785,0.5977011494252874
252,High,0.2926829268292683,0.5977011494252874
253,High,0.2938443670150987,0.6015325670498084
254,High,0.29500580720092917,0.6015325670498084
255,High,0.2961672473867596,0.6015325670498084
256,High,0.29732868757259,0.6015325670498084
257,High,0.29849012775842043,0.6053639846743295
258,High,0.29965156794425085,0.6091954022988506
259,High,0.3008130081300813,0.6130268199233716
260,High,0.30197444831591175,0.6130268199233716
261,High,0.30313588850174217,0.6130268199233716
262,High,0.3042973286875726,0.6130268199233716
263,High,0.305458768873403,0.6130268199233716
264,High,0.30662020905923343,0.6168582375478927
265,High,0.3077816492450639,0.6168582375478927
266,High,0.3089430894308943,0.6168582375478927
267,High,0.31010452961672474,0.6168582375478927
268,High,0.31126596980255516,0.6168582375478927
269,High,0.3124274099883856,0.6168582375478927
270,High,0.313588850174216,0.6168582375478927
271,High,0.3147502903600465,0.6168582375478927
272,High,0.3159117305458769,0.6168582375478927
273,High,0.3170731707317073,0.6168582375478927
274,High,0.31823461091753774,0.6206896551724138
275,High,0.31939605110336816,0.6206896551724138
276,High,0.3205574912891986,0.6206896551724138
277,High,0.32171893147502906,0.6245210727969349
278,High,0.3228803716608595,0.6245210727969349
279,High,0.3240418118466899,0.6245210727969349
280,High,0.3252032520325203,0.6245210727969349
281,High,0.32636469221835074,0.6283524904214559
282,High,0.32752613240418116,0.632183908045977
283,High,0.32868757259001163,0.6360153256704981
284,High,0.32984901277584205,0.6360153256704981
285,High,0.3310104529616725,0.6360153256704981
286,High,0.3321718931475029,0.6360153256704981
287,High,0.3333333333333333,0.6398467432950191
288,High,0.3344947735191638,0.6436781609195402
289,High,0.3356562137049942,0.6436781609195402
290,High,0.33681765389082463,0.6436781609195402
291,High,0.33797909407665505,0.6436781609195402
292,High,0.33914053426248547,0.6436781609195402
293,High,0.3403019744483159,0.6436781609195402
294,High,0.34146341463414637,0.6436781609195402
295,High,0.3426248548199768,0.6436781609195402
296,High,0.3437862950058072,0.6436781609195402
297,High,0.34494773519163763,0.6436781609195402
298,High,0.34610917537746805,0.6475095785440613
299,High,0.34727061556329847,0.6475095785440613
300,High,0.34843205574912894,0.6475095785440613
301,High,0.34959349593495936,0.6475095785440613
302,High,0.3507549361207898,0.6475095785440613
303,High,0.3519163763066202,0.6475095785440613
304,High,0.3530778164924506,0.6475095785440613
305,High,0.35423925667828104,0.6475095785440613
306,High,0.3554006968641115,0.6513409961685823
307,High,0.35656213704994194,0.6513409961685823
308,High,0.35772357723577236,0.6513409961685823
309,High,0.3588850174216028,0.6551724137931034
310,High,0.3600464576074332,0.6590038314176245
311,High,0.3612078977932636,0.6590038314176245
312,High,0.3623693379790941,0.6590038314176245
313,High,0.3635307781649245,0.6590038314176245
314,High,0.36469221835075494,0.6628352490421456
315,High,0.36585365853658536,0.6666666666666666
316,High,0.3670150987224158,0.6666666666666666
317,High,0.3681765389082462,0.6666666666666666
318,High,0.3693379790940767,0.6704980842911877
319,High,0.3704994192799071,0.6704980842911877
320,High,0.3716608594657375,0.6704980842911877
321,High,0.37282229965156793,0.6704980842911877
322,High,0.37398373983739835,0.6704980842911877
323,High,0.37514518002322883,0.6743295019157088
