Name_2018b,Name_2019,Notes
Bat coronavirus CDPHE15,Bat coronavirus CDPHE15,
Bat coronavirus HKU10,Bat coronavirus HKU10,
Bayou orthohantavirus,Bayou orthohantavirus,
Bear Canyon mammarenavirus,Bear Canyon mammarenavirus,
Bebaru virus,Bebaru virus,
Beluga whale coronavirus SW1,Beluga whale coronavirus SW1,
Berrimah ephemerovirus,Berrimah ephemerovirus,
Betacoronavirus 1,Betacoronavirus 1,
Betapapillomavirus 1,Betapapillomavirus 1,
Betapapillomavirus 2,Betapapillomavirus 2,
Betapapillomavirus 3,Betapapillomavirus 3,
Betapapillomavirus 4,Betapapillomavirus 4,
Betapapillomavirus 5,Betapapillomavirus 5,
Bimiti orthobunyavirus,Bimiti orthobunyavirus,
Bluetongue virus,Bluetongue virus,
Bokeloh bat lyssavirus,Bokeloh bat lyssavirus,
Pestivirus D,Pestivirus D,
Bos taurus polyomavirus 1,Bos taurus polyomavirus 1,
Bouboui virus,Bouboui virus,
Bovine alphaherpesvirus 1,Bovine alphaherpesvirus 1,
Bovine alphaherpesvirus 5,Bovine alphaherpesvirus 5,
Bovine atadenovirus D,Bovine atadenovirus D,
Bovine fever ephemerovirus,Bovine fever ephemerovirus,
Bovine foamy virus,Bovine foamy virus,
Bovine gammaherpesvirus 4,Bovine gammaherpesvirus 4,
Bovine immunodeficiency virus,Bovine immunodeficiency virus,
Bovine leukemia virus,Bovine leukemia virus,
Bovine mastadenovirus A,Bovine mastadenovirus A,
Bovine mastadenovirus B,Bovine mastadenovirus B,
Bovine mastadenovirus C,Bovine mastadenovirus C,
Bovine orthopneumovirus,Bovine orthopneumovirus,
Bovine papular stomatitis virus,Bovine papular stomatitis virus,
Bovine respirovirus 3,Bovine respirovirus 3,
Bovine torovirus,Bovine torovirus,
Pestivirus A,Pestivirus A,
Pestivirus B,Pestivirus B,
Pestivirus H,Pestivirus H,
Bubaline alphaherpesvirus 1,Bubaline alphaherpesvirus 1,
Bujaru phlebovirus,Bujaru phlebovirus,
Bundibugyo ebolavirus,Bundibugyo ebolavirus,
Bunyamwera orthobunyavirus,Bunyamwera orthobunyavirus,
Bwamba orthobunyavirus,Bwamba orthobunyavirus,
Cabassou virus,Cabassou virus,
Cacipacore virus,Cacipacore virus,
California encephalitis orthobunyavirus,California encephalitis orthobunyavirus,
California reptarenavirus,California reptarenavirus,
Callitrichine gammaherpesvirus 3,Callitrichine gammaherpesvirus 3,
Camelpox virus,Camelpox virus,
Candiru phlebovirus,Candiru phlebovirus,
Canid alphaherpesvirus 1,Canid alphaherpesvirus 1,
Canine mastadenovirus A,Canine mastadenovirus A,
Canine morbillivirus,Canine morbillivirus,
Cano Delgadito orthohantavirus,Cano Delgadito orthohantavirus,
Caprine arthritis encephalitis virus,Caprine arthritis encephalitis virus,
Caraparu orthobunyavirus,Caraparu orthobunyavirus,
Cardiovirus A,Cardiovirus A,
Cardiovirus B,Cardiovirus B,
Carnivore amdoparvovirus 1,Carnivore amdoparvovirus 1,
Carnivore bocaparvovirus 1,Carnivore bocaparvovirus 1,
Carnivore protoparvovirus 1,Carnivore protoparvovirus 1,
Carp sprivivirus,Carp sprivivirus,
Catu orthobunyavirus,Catu orthobunyavirus,
Caviid betaherpesvirus 2,Caviid betaherpesvirus 2,
Cedar henipavirus,Cedar henipavirus,
Cercopithecine alphaherpesvirus 2,Cercopithecine alphaherpesvirus 2,
Cercopithecine alphaherpesvirus 9,Cercopithecine alphaherpesvirus 9,
Cercopithecine betaherpesvirus 5,Cercopithecine betaherpesvirus 5,
Cervid alphaherpesvirus 1,Cervid alphaherpesvirus 1,
Cervid alphaherpesvirus 2,Cervid alphaherpesvirus 2,
Cetacean morbillivirus,Cetacean morbillivirus,
Chandipura vesiculovirus,Chandipura vesiculovirus,
Changuinola virus,Changuinola virus,
Chapare mammarenavirus,Chapare mammarenavirus,
Chikungunya virus,Chikungunya virus,
Chobar Gorge virus,Chobar Gorge virus,
Pestivirus C,Pestivirus C,
Coastal Plains tibrovirus,Coastal Plains tibrovirus,
Cocal vesiculovirus,Cocal vesiculovirus,
Colorado tick fever virus,Colorado tick fever coltivirus,
Common moorhen coronavirus HKU21,Common moorhen coronavirus HKU21,
Coronavirus HKU15,Coronavirus HKU15,
Corriparta virus,Corriparta virus,
Cowpox virus,Cowpox virus,
Crimean-Congo hemorrhagic fever orthonairovirus,Crimean-Congo hemorrhagic fever orthonairovirus,
Cupixi mammarenavirus,Cupixi mammarenavirus,
Curionopolis curiovirus,Curionopolis curiovirus,
Deltapapillomavirus 1,Deltapapillomavirus 1,
Deltapapillomavirus 2,Deltapapillomavirus 2,
Deltapapillomavirus 3,Deltapapillomavirus 3,
Deltapapillomavirus 4,Deltapapillomavirus 4,
Dengue virus,Dengue virus,
Dera Ghazi Khan orthonairovirus,Dera Ghazi Khan orthonairovirus,
Dhori thogotovirus,Dhori thogotovirus,
Dobrava-Belgrade orthohantavirus,Dobrava-Belgrade orthohantavirus,
Drosophila melanogaster sigmavirus,Drosophila melanogaster sigmavirus,
Drosophila obscura sigmavirus,Drosophila obscura sigmavirus,
Aalivirus A,Aalivirus A,
Dugbe orthonairovirus,Dugbe orthonairovirus,
Duvenhage lyssavirus,Duvenhage lyssavirus,
Eastern equine encephalitis virus,Eastern equine encephalitis virus,
Ectromelia virus,Ectromelia virus,
Eggplant mottled dwarf nucleorhabdovirus,Eggplant mottled dwarf alphanucleorhabdovirus,
Eilat virus,Eilat virus,
Entebbe bat virus,Entebbe bat virus,
Enterovirus A,Enterovirus A,
Enterovirus B,Enterovirus B,
Enterovirus C,Enterovirus C,
Enterovirus D,Enterovirus D,
